Nombre,Cuenta,Categoría
,2-1-02-0004 - Intereses a Devengar Préstamos Prendarios,Pasivo Corriente > Deudas Bancarias
      2-1-03-0000 - Deudas Fiscales,,
,2-1-03-0002 - Provisión IG,Pasivo Corriente > Deudas Fiscales
,2-1-03-0008 - DREI a pagar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0009 - IG - Anticipos a Ingresar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0021 - AFIP - Planes de pago - Intereses a devengar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0090 - Pasivo por Impuesto Diferido,Pasivo Corriente > Deudas Fiscales
,2-1-03-0001 - IVA Débito Fiscal,Pasivo Corriente > Deudas Fiscales > IVA Débito Fiscal
,2-1-03-0003 - IVA Saldo a pagar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0004 - Retención Ganancias Efectuada a Proveedores,Pasivo Corriente > Deudas Fiscales
,2-1-03-0005 - ISIB a Pagar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0006 - Bs. Pers. Acc y Part. a Pagar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0007 - IG a Pagar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0010 - AFIP - Planes de Pago,Pasivo Corriente > Deudas Fiscales
,2-1-03-0011 - SICORE a Pagar,Pasivo Corriente > Deudas Fiscales
,2-1-03-0012 - Percepción de Ganancias Efectuada,Pasivo Corriente > Deudas Fiscales > Percepción Ganancias Efectuada
,2-1-03-0013 - Percepción de IVA Efectuada,Pasivo Corriente > Deudas Fiscales > IVA Percepción Efectuada
,2-1-03-0014 - Retención de IVA Efectuada,Pasivo Corriente > Deudas Fiscales > IVA Retención Efectuada
      2-1-04-0000 - Deudas Sociales,,
,2-1-04-0006 - Sindicato a Pagar,Pasivo Corriente > Deudas Sociales
,2-1-04-0011 - Embargos de Sueldos a Depositar,Pasivo Corriente > Deudas Sociales
,2-1-04-0012 - Provisión para SAC y sus Cargas Sociales,Pasivo Corriente > Deudas Sociales
,2-1-04-0004 - Sueldos a pagar,Pasivo Corriente > Deudas Sociales
,2-1-04-0005 - SICOSS a Pagar,Pasivo Corriente > Deudas Sociales
      2-1-05-0000 - Otras Deudas,,
,2-1-05-0001 - Socio Eloy Cuenta Particular,Pasivo Corriente > Otras Deudas
,2-1-05-0002 - Socio Villalonga Cuenta Particular,Pasivo Corriente > Otras Deudas
,2-1-05-0004 - Anticipo de Clientes,Pasivo Corriente > Otras Deudas
,2-1-05-0090 - Garantías de los Directores,Pasivo Corriente > Otras Deudas
,2-1-05-0091 - Mutuo Gaviglio a pagar,Pasivo Corriente > Deudas Societarias
,2-1-05-0092 - Mutuo Tomas hermanos SA,Pasivo Corriente > Otras Deudas
   2-2-00-0000 - Pasivo No Corriente,,
      Deudas Comerciales,,
      Deudas Bancarias,,
      Deudas Fiscales,,
      Deudas Sociales,,
      Deudas Societarias,,
      Otras Deudas,,
,2-1-05-0003 - Socio Jose Bonansea Cuenta Particular,Pasivo Corriente > Otras Deudas
      2-2-07-0000 - Previsiones,,
,2-2-07-0001 - Sueldos Judiciales,Pasivo No Corriente > Previsiones
3-0-00-0000 - Patrimonio Neto,,
   3-1-00-0000 - Patrimonio Neto y  Resultados,,
,3-1-04-0000 - Partidas a Conciliar,Patrimonio Neto > Ajuste de Capital
      3-1-01-0000 - Aporte de los Propiertarios,,
,3-1-01-0001 - Capital Social,Patrimonio Neto > Capital
,3-1-01-0002 - Ajuste de Capital,Patrimonio Neto > Ajuste de Capital
      3-1-02-0000 - Ganancias Reservadas,,
,3-1-02-0001 - Reserva Legal,Patrimonio Neto > Reservas
,3-1-02-0002 - Aportes Irrevcocables,Patrimonio Neto > Reservas
      3-1-03-0000 - Resultados,,
,3-1-03-0002 - Resultados no Asignados,Patrimonio Neto > Resultados No Asignados
,3-1-03-0001 - Resultado del Ejercicio,Patrimonio Neto > Resultados No Asignados
4-0-00-0000 - Ingresos,,
   4-1-00-0000 - Ingresos Ordinarios,,
      4-1-01-0000 - Ingreso Actividad Principal,,
